,Total_Stops,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Journeyday,Journeymonth,Dephour,Depmin,Arrivalhour,Arrivalmin,Durationhours,Durationmins
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,17,30,4,25,10,55
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,6,20,10,20,4,0
2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,19,15,19,0,23,45
3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,8,0,21,0,13,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,6,23,55,2,45,2,50
5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,18,15,12,35,18,20
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,7,30,22,35,15,5
7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,15,15,20,30,5,15
8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,3,10,10,12,55,2,45
9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,16,30,22,35,6,5
10,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,13,55,18,50,28,55
11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,6,50,16,10,9,20
12,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,9,0,19,15,10,15
13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,5,45,10,25,4,40
14,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,19,15,12,35,17,20
15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,21,25,8,15,10,50
16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,13,15,22,30,9,15
17,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,3,9,55,22,10,12,15
18,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,19,15,4,25,9,10
19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,22,55,8,15,9,20
20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,10,45,1,35,14,50
