,Total_Stops,Price,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Journeyday,Journeymonth,Dephour,Depmin,Arrivalhour,Arrivalmin,Durationhours,Durationmins
0,0.0,3897,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,22,20,1,10,2,50
1,2.0,7662,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,5,50,13,15,7,25
2,2.0,13882,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,6,9,25,4,25,19,0
3,1.0,6218,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,18,5,23,30,5,25
4,1.0,13302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,16,50,21,35,4,45
5,0.0,3873,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,24,6,9,0,11,25,2,25
6,1.0,11087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,18,55,10,25,15,30
7,1.0,22270,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,0,5,5,21,5
8,1.0,11087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,8,55,10,25,25,30
9,1.0,8625,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,5,11,25,19,15,7,50
10,1.0,8907,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,9,45,23,0,13,15
11,0.0,4174,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,4,20,20,22,55,2,35
